STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT06,WT11,WT04,WT03
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090528,0.00,0.0,0.0,71,52,58,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090529,0.47,0.0,0.0,67,54,55,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090530,0.08,0.0,0.0,76,55,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090531,0.00,0.0,0.0,76,51,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090601,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090602,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090603,0.48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090604,1.56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090605,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090606,0.84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090607,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090608,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090609,1.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090610,0.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090611,0.12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090612,0.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090613,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090614,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090615,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090616,0.16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090617,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090618,0.20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090619,1.12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090620,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090621,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090622,0.12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090623,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090624,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20090625,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
